"","name","continent"
"1","Afghanistan","Asia"
"2","Albania","Europe"
"3","Algeria","Africa"
"4","Angola","Africa"
"5","Argentina","Americas"
"6","Australia","Oceania"
"7","Austria","Europe"
"8","Bahrain","Asia"
"9","Bangladesh","Asia"
"10","Belgium","Europe"
"11","Benin","Africa"
"12","Bolivia","Americas"
"13","Bosnia and Herzegovina","Europe"
"14","Botswana","Africa"
"15","Brazil","Americas"
"16","Bulgaria","Europe"
"17","Burkina Faso","Africa"
"18","Burundi","Africa"
"19","Cambodia","Asia"
"20","Cameroon","Africa"
"21","Canada","Americas"
"22","Central African Republic","Africa"
"23","Chad","Africa"
"24","Chile","Americas"
"25","China","Asia"
"26","Colombia","Americas"
"27","Comoros","Africa"
"28","Congo Dem. Rep.","Africa"
"29","Congo Rep.","Africa"
"30","Costa Rica","Americas"
"31","Cote d'Ivoire","Africa"
"32","Croatia","Europe"
"33","Cuba","Americas"
"34","Czech Republic","Europe"
"35","Denmark","Europe"
"36","Djibouti","Africa"
"37","Dominican Republic","Americas"
"38","Ecuador","Americas"
"39","Egypt","Africa"
"40","El Salvador","Americas"
"41","Equatorial Guinea","Africa"
"42","Eritrea","Africa"
"43","Ethiopia","Africa"
"44","Finland","Europe"
"45","France","Europe"
"46","Gabon","Africa"
"47","Gambia","Africa"
"48","Germany","Europe"
"49","Ghana","Africa"
"50","Greece","Europe"
"51","Guatemala","Americas"
"52","Guinea","Africa"
"53","Guinea-Bissau","Africa"
"54","Haiti","Americas"
"55","Honduras","Americas"
"56","Hong Kong China","Asia"
"57","Hungary","Europe"
"58","Iceland","Europe"
"59","India","Asia"
"60","Indonesia","Asia"
"61","Iran","Asia"
"62","Iraq","Asia"
"63","Ireland","Europe"
"64","Israel","Asia"
"65","Italy","Europe"
"66","Jamaica","Americas"
"67","Japan","Asia"
"68","Jordan","Asia"
"69","Kenya","Africa"
"70","Korea Dem. Rep.","Asia"
"71","Korea Rep.","Asia"
"72","Kuwait","Asia"
"73","Lebanon","Asia"
"74","Lesotho","Africa"
"75","Liberia","Africa"
"76","Libya","Africa"
"77","Madagascar","Africa"
"78","Malawi","Africa"
"79","Malaysia","Asia"
"80","Mali","Africa"
"81","Mauritania","Africa"
"82","Mauritius","Africa"
"83","Mexico","Americas"
"84","Mongolia","Asia"
"85","Montenegro","Europe"
"86","Morocco","Africa"
"87","Mozambique","Africa"
"88","Myanmar","Asia"
"89","Namibia","Africa"
"90","Nepal","Asia"
"91","Netherlands","Europe"
"92","New Zealand","Oceania"
"93","Nicaragua","Americas"
"94","Niger","Africa"
"95","Nigeria","Africa"
"96","Norway","Europe"
"97","Oman","Asia"
"98","Pakistan","Asia"
"99","Panama","Americas"
"100","Paraguay","Americas"
"101","Peru","Americas"
"102","Philippines","Asia"
"103","Poland","Europe"
"104","Portugal","Europe"
"105","Puerto Rico","Americas"
"106","Reunion","Africa"
"107","Romania","Europe"
"108","Rwanda","Africa"
"109","Sao Tome and Principe","Africa"
"110","Saudi Arabia","Asia"
"111","Senegal","Africa"
"112","Serbia","Europe"
"113","Sierra Leone","Africa"
"114","Singapore","Asia"
"115","Slovak Republic","Europe"
"116","Slovenia","Europe"
"117","Somalia","Africa"
"118","South Africa","Africa"
"119","Spain","Europe"
"120","Sri Lanka","Asia"
"121","Sudan","Africa"
"122","Swaziland","Africa"
"123","Sweden","Europe"
"124","Switzerland","Europe"
"125","Syria","Asia"
"126","Taiwan","Asia"
"127","Tanzania","Africa"
"128","Thailand","Asia"
"129","Togo","Africa"
"130","Trinidad and Tobago","Americas"
"131","Tunisia","Africa"
"132","Turkey","Europe"
"133","Uganda","Africa"
"134","United Kingdom","Europe"
"135","United States","Americas"
"136","Uruguay","Americas"
"137","Venezuela","Americas"
"138","Vietnam","Asia"
"139","West Bank and Gaza","Asia"
"140","Yemen Rep.","Asia"
"141","Zambia","Africa"
"142","Zimbabwe","Africa"
